AmeCode,type,elems,lat,lon,alt,kjName,knName,enName,time,rain_1h_mm,rain_qual,wind_max_ms,wind_qual,wind_dir,wind_dir_qual,temp_max_c,temp_qual
11001,C,11112010,45.52,141.935,26,宗谷岬,ソウヤミサキ,Cape Soya,2024-10-22 14:00:00,0.0,8,10.8,4,南南西,4,17.9,4
11016,A,11111111,45.415,141.67833333333334,3,稚内,ワッカナイ,Wakkanai,2024-10-22 14:00:00,0.0,8,8.6,4,南,4,18.4,4
11046,C,11112010,45.305,141.045,65,礼文,レブン,Rebun,2024-10-22 14:00:00,0.0,8,10.4,4,南西,4,17.5,4
11061,C,11110100,45.403333333333336,141.80166666666668,8,声問,コエトイ：稚内空港,Koetoi,2024-10-22 14:00:00,0.0,8,11.6,4,南南西,4,18.7,4
11076,C,11112110,45.335,142.17,13,浜鬼志別,ハマオニシベツ,Hamaoni-Shibetsu,2024-10-22 14:00:00,0.0,8,12.5,4,南西,4,16.1,4
11091,C,11110000,45.24166666666667,141.18666666666667,30,本泊,モトドマリ：利尻空港,Motodomari,2024-10-22 14:00:00,0.0,8,14.3,4,南西,4,18.1,4
11121,C,11112100,45.248333333333335,141.85166666666666,23,沼川,ヌマカワ,Numakawa,2024-10-22 14:00:00,0.0,8,5.4,4,南南西,4,17.4,4
11151,C,11112010,45.178333333333335,141.13833333333332,14,沓形,クツガタ,Kutsugata,2024-10-22 14:00:00,0.0,8,11.8,4,南南西,4,18.1,4
11176,C,11112110,45.10166666666667,141.78,14,豊富,トヨトミ,Toyotomi,2024-10-22 14:00:00,0.0,8,6.7,4,南,4,17.3,4
11206,C,11112010,45.125,142.35,18,浜頓別,ハマトンベツ,Hamatonbetsu,2024-10-22 14:00:00,0.0,8,5.0,4,南南西,4,17.0,4
11276,C,11112100,44.965,142.28,25,中頓別,ナカトンベツ,Nakatonbetsu,2024-10-22 14:00:00,0.0,8,6.2,4,西南西,4,19.1,4
11291,B,11111111,44.94,142.585,7,北見枝幸,キタミエサシ,Kitami-Esashi,2024-10-22 14:00:00,0.0,8,8.5,4,西南西,4,19.8,4
11316,C,11112100,44.84166666666667,142.48,14,歌登,ウタノボリ,Utanobori,2024-10-22 14:00:00,0.0,8,5.3,4,南西,4,18.5,4
12011,C,11112010,44.82833333333333,142.07666666666665,22,中川,ナカガワ,Nakagawa,2024-10-22 14:00:00,0.0,8,7.2,4,南西,4,17.8,4
12041,C,11112110,44.72666666666667,142.265,40,音威子府,オトイネップ,Otoineppu,2024-10-22 14:00:00,0.0,8,6.4,4,南,4,19.3,4
12066,C,1000000,44.60833333333333,142.295,60,小車,オグルマ,Oguruma,2024-10-22 14:00:00,0.0,8,,,,,,
12141,C,11112100,44.48,142.34166666666667,77,美深,ビフカ,Bifuka,2024-10-22 14:00:00,0.0,8,4.4,4,南西,4,18.2,4
12181,C,11112110,44.37,142.45666666666668,89,名寄,ナヨロ,Nayoro,2024-10-22 14:00:00,0.0,8,6.6,4,南南西,4,20.2,4
12217,C,1000000,44.295,142.35833333333332,128,西風連,ニシフウレン,Nishi-Furen,2024-10-22 14:00:00,0.0,8,,,,,,
12231,C,11112100,44.295,142.63666666666666,143,下川,シモカワ,Shimokawa,2024-10-22 14:00:00,0.0,8,5.2,4,西南西,4,19.8,4
12256,C,1000000,44.10666666666667,142.35333333333332,138,剣淵,ケンブチ,Kenbuchi,2024-10-22 14:00:00,0.0,8,,,,,,
12261,C,11112000,44.18666666666667,142.41666666666666,135,士別,シベツ,Shibetsu,2024-10-22 14:00:00,0.0,8,5.5,4,南南東,4,19.2,4
12266,C,11112000,44.11833333333333,142.595,225,朝日,アサヒ,Asahi,2024-10-22 14:00:00,0.0,8,5.2,4,西南西,4,19.0,4
12301,C,11112100,44.028333333333336,142.41,150,和寒,ワッサム,Wassamu,2024-10-22 14:00:00,0.0,8,5.7,4,南南東,4,19.5,4
12386,C,11112000,43.87,142.26,140,江丹別,エタンベツ,Etanbetsu,2024-10-22 14:00:00,0.0,8,3.2,4,西,4,18.9,4
12396,C,11112010,43.87,142.47,164,比布,ピップ,Pippu,2024-10-22 14:00:00,0.0,8,6.2,4,南,4,18.4,4
12411,C,11112100,43.84666666666666,142.75333333333333,324,上川,カミカワ,Kamikawa,2024-10-22 14:00:00,0.0,8,5.9,4,西,4,19.1,4
12442,A,11111111,43.75666666666667,142.37166666666667,120,旭川,アサヒカワ,Asahikawa,2024-10-22 14:00:00,0.0,8,7.6,4,南南東,4,19.5,4
